aX,aY,aZ
-0.722,-0.054,-0.413
-0.677,-0.136,-0.401
-0.728,-0.096,-0.433
-0.889,0.080,-0.581
-0.900,0.127,-0.473
-0.872,0.183,-0.582
-0.723,0.343,-0.931
-0.702,0.078,-1.073
-0.711,0.142,-1.146
-0.636,0.150,-1.073
-1.363,-0.100,-0.461
-1.532,-0.185,-0.254
-1.313,0.108,-0.172
-1.051,0.150,-0.757
-0.776,-0.332,-0.606
-0.803,-0.438,0.061
-0.762,-0.315,0.038
-0.883,-0.280,-0.091
-1.041,0.050,-0.314
-0.851,-0.549,-0.569
-0.822,-0.655,-0.611
-0.704,-0.548,-0.499
-0.673,-0.272,-0.518
-0.794,-0.190,-0.421
-1.018,0.004,-0.325
-0.943,-0.055,-0.398
-0.847,-0.104,-0.411
-0.829,-0.262,-0.450
-0.796,-0.388,-0.441
-0.785,-0.389,-0.447
-0.767,-0.301,-0.517
-0.838,-0.256,-0.417
-0.845,-0.284,-0.365
-0.868,-0.324,-0.312
-0.907,-0.287,-0.319
-0.944,-0.229,-0.315
-0.960,-0.227,-0.332
-0.906,-0.344,-0.328
-0.875,-0.407,-0.349
-0.836,-0.512,-0.568
-0.786,-0.439,-0.650
-0.802,-0.385,-0.603
-1.077,-0.327,-0.766
-1.069,-0.105,-0.635
-1.032,-0.074,-0.688
-1.073,0.042,-0.856
-0.906,0.226,-0.751
-0.852,0.268,-0.670
-1.020,0.108,-0.451
-1.214,-0.318,-0.280
-1.115,-1.390,0.108
-0.999,-0.194,-0.193
-0.851,-0.163,-0.325
-0.782,-0.067,-0.556
-0.717,0.065,-0.459
-0.785,-0.024,-0.244
-0.691,0.003,-0.116
-0.667,-0.012,-0.135
-0.706,-0.036,-0.122
-0.703,-0.117,-0.159
-0.934,0.059,-0.401
-0.783,0.108,-1.085
-0.761,-0.048,-1.212
-0.748,0.043,-1.384
-0.668,0.076,-0.765
-1.176,-0.425,-0.023
-1.256,-0.052,-0.086
-1.776,0.958,-1.131
-0.608,-0.426,-0.162
-0.756,-0.344,0.005
-0.785,-0.273,0.092
-0.871,0.053,0.020
-1.015,0.101,-0.150
-0.912,-0.853,-0.777
-0.520,-0.538,-0.610
-0.996,-0.095,-0.329
-1.078,-0.065,-0.237
-0.905,-0.161,-0.386
-0.816,-0.185,-0.399
-0.814,-0.243,-0.402
-0.809,-0.328,-0.327
-0.900,-0.325,-0.346
-0.892,-0.306,-0.353
-0.885,-0.377,-0.296
-0.884,-0.385,-0.247
-0.926,-0.351,-0.256
-0.998,-0.209,-0.378
-1.065,-0.101,-0.437
-1.053,-0.152,-0.388
-0.840,-0.378,-0.454
-0.785,-0.409,-0.610
-0.818,-0.362,-0.649
