aX,aY,aZ
-0.772,-0.169,-0.417
-0.688,-0.237,-0.359
-0.656,-0.125,-0.496
-0.610,-0.057,-0.562
-0.613,-0.085,-0.589
-0.604,-0.201,-0.627
-0.588,-0.237,-0.615
-0.537,-0.192,-0.658
-0.458,-0.257,-0.683
-0.398,-0.324,-0.635
-0.378,-0.340,-0.631
-0.366,-0.362,-0.706
-0.349,-0.308,-0.728
-0.369,-0.235,-0.716
-0.359,-0.262,-0.738
-0.370,-0.214,-0.688
-0.370,-0.146,-0.694
-0.364,-0.090,-0.708
-0.355,-0.129,-0.719
-0.321,-0.183,-0.775
-0.284,-0.259,-0.861
-0.243,-0.356,-0.868
-0.224,-0.368,-0.880
-0.216,-0.362,-0.881
-0.233,-0.335,-0.831
-0.244,-0.341,-0.833
-0.292,-0.281,-0.826
-0.323,-0.227,-0.810
-0.322,-0.223,-0.788
-0.304,-0.274,-0.764
-0.322,-0.285,-0.793
-0.338,-0.282,-0.796
-0.333,-0.277,-0.775
-0.357,-0.285,-0.829
-0.402,-0.360,-0.933
-0.406,-0.440,-0.980
-0.381,-0.333,-0.950
-0.383,-0.294,-0.935
-0.390,-0.340,-0.921
-0.390,-0.450,-0.929
-0.381,-0.454,-0.917
-0.330,-0.460,-0.904
-0.293,-0.509,-0.836
-0.341,-0.538,-0.757
-0.471,-0.418,-0.805
-0.588,-0.232,-0.772
-0.626,-0.196,-0.791
-0.694,-0.325,-0.779
-0.685,-0.404,-0.734
-0.697,-0.519,-0.788
-0.743,-0.579,-0.821
-0.766,-0.565,-0.760
-0.783,-0.595,-0.699
-0.735,-0.531,-0.763
-0.704,-0.472,-0.703
-0.639,-0.447,-0.715
-0.647,-0.386,-0.555
-0.729,-0.402,-0.434
-0.780,-0.395,-0.425
-0.800,-0.432,-0.461
-0.700,-0.401,-0.608
-0.703,-0.401,-0.585
-0.712,-0.441,-0.591
-0.667,-0.423,-0.613
-0.689,-0.315,-0.537
-0.688,-0.318,-0.538
-0.702,-0.340,-0.545
-0.686,-0.370,-0.548
-0.663,-0.347,-0.578
-0.694,-0.322,-0.580
-0.765,-0.269,-0.568
-0.825,-0.279,-0.450
-0.839,-0.225,-0.503
-0.793,-0.278,-0.565
-0.761,-0.313,-0.562
-0.775,-0.329,-0.513
-0.792,-0.303,-0.447
-0.787,-0.359,-0.419
-0.814,-0.347,-0.410
-0.835,-0.332,-0.467
-0.830,-0.336,-0.474
-0.818,-0.284,-0.406
-0.854,-0.303,-0.468
-0.838,-0.281,-0.467
-0.828,-0.269,-0.477
-0.811,-0.254,-0.503
-0.779,-0.316,-0.490
-0.793,-0.265,-0.500
-0.818,-0.260,-0.518
-0.836,-0.325,-0.484
-0.825,-0.345,-0.480
-0.844,-0.363,-0.487
-0.834,-0.346,-0.500
-0.804,-0.355,-0.501
-0.789,-0.368,-0.471
-0.820,-0.345,-0.437
-0.830,-0.328,-0.435
-0.837,-0.336,-0.475
-0.874,-0.317,-0.506
-0.889,-0.323,-0.513
-0.925,-0.346,-0.495
-0.959,-0.322,-0.466
-0.992,-0.314,-0.463
-1.052,-0.324,-0.504
-1.059,-0.347,-0.527
-1.046,-0.350,-0.553
-1.066,-0.325,-0.587
-1.137,-0.286,-0.592
-1.170,-0.267,-0.586
-1.156,-0.143,-0.626
-1.156,-0.068,-0.618
-1.154,-0.040,-0.603
-1.061,0.003,-0.564
-1.024,-0.058,-0.611
-1.005,-0.054,-0.681
-0.913,-0.085,-0.805
-0.758,-0.170,-0.825
-0.729,-0.308,-0.748
-0.644,-0.306,-0.589
-0.752,-0.188,-0.484
-0.834,-0.061,-0.433
-0.654,-0.181,-0.521
-0.659,-0.305,-0.742
-0.728,-0.308,-0.753
-0.738,0.041,-0.453
-0.902,0.012,-0.412
-0.810,-0.078,-0.320
-0.658,-0.248,-0.313
-0.764,-0.094,-0.652
-0.682,-0.204,-0.551
-0.581,-0.453,-0.619
-0.624,-0.418,-0.607
-0.575,-0.424,-0.645
-0.489,-0.428,-0.635
-0.406,-0.425,-0.621
-0.362,-0.422,-0.600
-0.362,-0.410,-0.543
-0.291,-0.423,-0.407
-0.316,-0.358,-0.541
-0.265,-0.436,-0.618
-0.281,-0.433,-0.619
-0.284,-0.366,-0.610
